BBtime,CandyDispensed,CandyTaken
10.973,1,0
23.899,1,0
60.009,1,0
60.012,0,1
60.015,0,1
60.018,0,1
71.074,1,0
71.077,0,1
82.427,1,0
82.430,0,1
87.645,1,0
87.648,0,1
122.338,1,0
147.716,1,0
147.719,0,1
147.722,0,1
150.948,1,0
150.951,0,1
173.020,1,0
173.023,0,1
188.012,1,0
231.185,1,0
231.188,0,1
231.191,0,1
247.038,1,0
253.613,1,0
