block,trial_num,left_stim,left_stim_number,right_stim,right_stim_number,object_onset,object_duration,response,response_onset,trial_RT,accuracy,isi_onset,isi_duration,scheduled_outcome,feedback,feedback_onset,feedback_duration,iti_onset,iti_duration
1,1,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\5.bmp,5,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\3.bmp,2,5.011,2.998,left,6.045,1.033,0,8.010,1.000,1,zero,9.009,0.983,9.992,7.013
1,2,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\1.bmp,4,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\6.bmp,3,17.005,2.998,right,18.188,1.183,1,20.003,5.980,0,zero,25.984,0.983,26.966,4.533
1,3,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\4.bmp,1,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\2.bmp,6,31.499,2.997,left,32.630,1.131,1,34.496,5.980,1,reward,40.476,0.983,41.459,4.531
1,4,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\2.bmp,6,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\4.bmp,1,45.990,2.999,left,47.306,1.302,0,48.989,0.999,0,reward,49.988,0.983,50.971,4.514
1,5,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\3.bmp,2,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\5.bmp,5,55.485,2.998,right,56.602,1.116,0,58.483,1.999,1,zero,60.482,0.983,61.465,6.014
1,6,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\6.bmp,3,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\1.bmp,4,67.479,2.998,left,68.945,1.453,1,70.477,4.981,1,reward,75.458,0.983,76.441,6.014
