block,trial_num,left_stim,left_stim_number,right_stim,right_stim_number,object_onset,object_duration,response,response_onset,trial_RT,accuracy,isi_onset,isi_duration,scheduled_outcome,feedback,feedback_onset,feedback_duration,iti_onset,iti_duration
1,1,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\Scripts\0 GIRRLS-master\M_M_dispenser_080520\Resources\1.bmp,5,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\Scripts\0 GIRRLS-master\M_M_dispenser_080520\Resources\2.bmp,2,5.013,2.998,right,6.545,1.533,1,8.011,2.998,0,zero,11.009,0.983,11.992,4.514
1,2,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\Scripts\0 GIRRLS-master\M_M_dispenser_080520\Resources\6.bmp,6,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\Scripts\0 GIRRLS-master\M_M_dispenser_080520\Resources\3.bmp,1,16.507,2.998,left,17.323,0.802,0,19.505,6.980,1,zero,26.485,0.983,27.468,4.531
1,3,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\Scripts\0 GIRRLS-master\M_M_dispenser_080520\Resources\5.bmp,3,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\Scripts\0 GIRRLS-master\M_M_dispenser_080520\Resources\4.bmp,4,31.999,2.998,right,32.582,0.583,0,34.997,0.999,1,zero,35.996,0.983,36.979,4.514
1,4,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\Scripts\0 GIRRLS-master\M_M_dispenser_080520\Resources\6.bmp,6,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\Scripts\0 GIRRLS-master\M_M_dispenser_080520\Resources\3.bmp,1,41.494,2.998,left,41.911,0.417,0,44.492,0.500,1,zero,44.992,0.983,45.975,4.514
1,5,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\Scripts\0 GIRRLS-master\M_M_dispenser_080520\Resources\1.bmp,5,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\Scripts\0 GIRRLS-master\M_M_dispenser_080520\Resources\2.bmp,2,50.489,2.998,right,51.039,0.550,1,53.487,0.999,0,zero,54.487,0.983,55.470,8.996
1,6,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\Scripts\0 GIRRLS-master\M_M_dispenser_080520\Resources\4.bmp,4,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\Scripts\0 GIRRLS-master\M_M_dispenser_080520\Resources\5.bmp,3,64.465,2.998,left,64.915,0.450,0,67.464,0.999,1,zero,68.463,0.983,69.446,8.013
1,7,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\Scripts\0 GIRRLS-master\M_M_dispenser_080520\Resources\2.bmp,2,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\Scripts\0 GIRRLS-master\M_M_dispenser_080520\Resources\1.bmp,5,77.459,2.998,right,77.975,0.516,0,80.457,0.500,1,zero,80.957,0.983,81.940,9.995
1,8,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\Scripts\0 GIRRLS-master\M_M_dispenser_080520\Resources\3.bmp,1,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\Scripts\0 GIRRLS-master\M_M_dispenser_080520\Resources\6.bmp,6,91.934,2.998,left,92.385,0.450,1,94.933,0.500,1,reward,95.432,0.983,96.415,4.514
