BBtime,CandyDispensed,CandyTaken
83.074,1,0
83.077,0,1
101.847,1,0
101.850,0,1
114.150,1,0
114.153,0,1
137.168,1,0
156.292,1,0
164.111,1,0
179.034,1,0
179.037,0,1
179.041,0,1
179.044,0,1
179.047,0,1
