BBtime,CandyDispensed,CandyTaken
28.820,1,0
28.823,0,1
39.378,1,0
39.381,0,1
56.118,1,0
56.121,0,1
67.252,1,0
77.824,1,0
82.211,1,0
99.924,1,0
99.927,0,1
99.930,0,1
99.933,0,1
99.936,0,1
