BBtime,CandyDispensed,CandyTaken
28.804,1,0
28.807,0,1
52.398,1,0
52.401,0,1
62.843,1,0
62.846,0,1
67.435,1,0
67.438,0,1
72.066,1,0
72.069,0,1
