left_stim_name,left_stim_number,right_stim_name,right_stim_number,shceduled_outcome,stim_onset,key_press,RT,accuracy,reward_outcome,feedback_onset,block
./Stims/6.bmp,2,./Stims/5.bmp,5,1,0.020162499975413084,1,0.9919908000156283,0,incorrect,3.0197964003309608,0
./Stims/3.bmp,3,./Stims/1.bmp,4,1,6.03628130024299,4,1.009246800094843,0,incorrect,9.050231500063092,0
./Stims/2.bmp,1,./Stims/4.bmp,6,1,12.067386500071734,1,1.52430190006271,0,incorrect,15.596497900318354,0
./Stims/3.bmp,3,./Stims/1.bmp,4,0,18.61370010022074,4,6.6089759999886155,0,probabalistic_reward,27.2409491003491,0
./Stims/2.bmp,1,./Stims/4.bmp,6,1,28.804359500296414,1,1.8284162995405495,0,incorrect,32.63904000027105,0
./Stims/6.bmp,2,./Stims/5.bmp,5,1,35.6559578999877,4,1.0134259001351893,0,incorrect,38.685415000189096,0
./Stims/2.bmp,1,./Stims/4.bmp,6,1,41.70375160034746,1,1.2750448998995125,0,incorrect,44.99888249998912,0
./Stims/3.bmp,3,./Stims/1.bmp,4,0,48.01599010033533,4,1.112254900392145,0,probabalistic_reward,51.145575700327754,0
./Stims/6.bmp,2,./Stims/5.bmp,5,1,52.3982860003598,1,1.2237472999840975,0,incorrect,55.62624800018966,0
./Stims/1.bmp,4,./Stims/3.bmp,3,1,58.64390669995919,4,0.9287947001866996,1,correct_reward,61.59080900019035,0
./Stims/4.bmp,6,./Stims/2.bmp,1,1,62.84323990019038,1,1.0137431998737156,1,correct_reward,65.87134540034458,0
./Stims/5.bmp,5,./Stims/6.bmp,2,1,67.43501440016553,4,1.0467682001180947,1,correct_reward,70.50235730037093,0
./Stims/1.bmp,4,./Stims/3.bmp,3,0,72.06642600009218,1,1.0319018000736833,1,correct_unrewarded,75.11731390003115,0
./Stims/5.bmp,5,./Stims/6.bmp,2,1,78.13528950000182,q,0.9343087002635002,1,,,0
